"","JULDAY","TIME","D0cm","D1.5cm","D3.5cm","D5cm","D10cm","D15cm","D30cm","D60cm","D100cm","D200cm"
"6113",255,960,29.9204597473145,27.6816482543945,27.4926662445068,27.2997703552246,26.4294910430908,25.5025367736816,23.450647354126,23.4788684844971,23.9457187652588,24.1244487762451
"6114",255,1020,19.1669483184814,26.1141414642334,26.2854995727539,26.3353843688965,26.0963001251221,25.5758209228516,23.7283172607422,23.4995803833008,23.939079284668,24.1244487762451
"6115",255,1080,12.5808591842651,24.463493347168,24.8611660003662,25.0831565856934,25.406457901001,25.3297691345215,23.9410533905029,23.5295009613037,23.9330348968506,24.1244487762451
"6116",255,1140,10.9762859344482,23.2326736450195,23.6868495941162,23.9744758605957,24.6163272857666,24.8710403442383,24.0665111541748,23.5644588470459,23.9277057647705,24.1244487762451
"6117",255,1200,10.0920639038086,22.3473014831543,22.8183994293213,23.1276359558105,23.9095401763916,24.3531646728516,24.1048011779785,23.6001052856445,23.9231185913086,24.1244487762451
"6118",255,1260,9.40879535675049,21.6304683685303,22.1075057983398,22.4301280975342,23.2912273406982,23.855224609375,24.0715103149414,23.6328544616699,23.9192390441895,24.1244487762451
"6119",255,1320,8.86828136444092,21.0212440490723,21.5015602111816,21.8313941955566,22.7448539733887,23.3943920135498,23.9844093322754,23.6601543426514,23.9159660339355,24.1244487762451
"6120",255,1380,8.43810939788818,20.4928226470947,20.9735202789307,21.3077487945557,22.2573108673096,22.9703388214111,23.8584537506104,23.680419921875,23.9131832122803,24.1244487762451
"6121",256,0,8.0939302444458,20.0297088623047,20.5048370361328,20.8449954986572,21.8184757232666,22.5792293548584,23.7052574157715,23.6927280426025,23.9107494354248,24.1244487762451
"6122",256,60,8.01087379455566,19.6320419311523,20.1034965515137,20.4369888305664,21.4229125976562,22.2175045013428,23.533618927002,23.696720123291,23.9085178375244,24.1244487762451
"6123",256,120,7.93816518783569,19.2901878356934,19.7531356811523,20.0825729370117,21.069507598877,21.8847370147705,23.3503684997559,23.6923828125,23.9063205718994,24.1244487762451
"6124",256,180,7.85124969482422,19.0457229614258,19.3076267242432,19.8074226379395,20.7482566833496,21.5788345336914,23.160888671875,23.6799697875977,23.9040412902832,24.1244487762451
"6125",256,240,7.77702474594116,18.7066688537598,19.1554107666016,19.4772987365723,20.4583053588867,21.2957534790039,22.9690933227539,23.6599254608154,23.9015350341797,24.1244487762451
